inPortNo,draughtDiff,draughtDiffCargo,draughtDiffTanker,period
50300,28,22.400000000000002,11.499999999999996,202002
51254,1,1.6999999999999993,,202002
51830,6,14.3,1.6,202003
52510,1,,0.09999999999999964,202005
50380,34,71.89999999999998,19.500000000000004,202001
51330,1,,0.9999999999999996,202004
50030,894,1181.4999999999995,520.7999999999998,202003
50030,764,328.8999999999999,186.29999999999993,202006
52260,3,,1.9000000000000004,202004
50070,1,2.5999999999999996,,202002
50030,883,1196.8000000000006,580.1,202002
51040,11,6.699999999999999,0.09999999999999964,202001
52140,1,0.10000000000000053,,202002
52220,2,,2.6999999999999997,202005
51870,32,64.2,9.5,202001
50610,1,,3.3000000000000007,202002
50060,72,34.3,58.60000000000001,202006
50970,130,112.39999999999999,23.9,202006
51205,4,3.3000000000000007,2.4000000000000004,202003
51830,5,6.200000000000002,3.0,202001
51850,1,0.5,,202005
50340,3,0.5999999999999996,3.2,202006
51890,7,1.2999999999999998,,202001
53115,3,0.600000000000001,,202004
52240,1,,0.10000000000000053,202006
50231,1,,,202004
51010,1,0.8000000000000003,,202003
51130,157,188.49999999999997,31.299999999999997,202002
50060,46,14.299999999999999,23.400000000000002,202004
52065,7,1.9999999999999996,8.0,202004
51180,1,0.9000000000000004,,202001
50300,22,9.299999999999997,6.800000000000002,202003
51220,31,2.3999999999999995,60.9,202004
51845,83,190.10000000000008,83.10000000000001,202002
noPort,1093,1971.6000000000001,575.1,202003
50030,744,658.4,442.90000000000003,202004
50060,49,19.0,28.8,202001
50231,2,,2.0,202005
51320,1,,1.2000000000000002,202002
51803,6,38.400000000000006,,202006
51865,4,8.8,,202002
53010,3,7.2,,202006
51484,1,0.7999999999999998,,202002
50790,2,1.2999999999999998,0.7000000000000002,202003
52240,8,17.0,0.7999999999999998,202005
52320,31,41.400000000000006,10.600000000000003,202002
51770,14,52.79999999999999,,202003
51850,2,1.9999999999999991,,202001
50517,6,10.399999999999999,3.999999999999999,202003
51870,21,47.60000000000001,11.0,202004
50180,1,,1.2000000000000002,202006
52230,1,,0.20000000000000018,202002
52350,4,1.3999999999999995,1.0,202002
50935,71,41.70000000000001,75.10000000000001,202005
51810,21,110.70000000000002,,202002
50040,2,0.7999999999999998,,202003
50785,49,25.2,84.69999999999999,202001
50380,32,67.5,13.5,202005
50516,385,112.09999999999998,708.0999999999998,202004
50600,1,4.6,,202002
50730,16,7.499999999999997,7.800000000000001,202005
51855,1,0.09999999999999964,,202002
50785,42,9.600000000000001,65.60000000000001,202004
51254,2,4.8999999999999995,,202006
51810,25,103.00000000000001,,202003
53133,2,,0.20000000000000018,202002
50060,53,20.39999999999999,26.9,202003
51100,31,23.200000000000003,49.30000000000001,202002
50450,13,9.899999999999999,11.5,202006
51850,1,6.6,,202003
51890,5,2.8999999999999995,3.5999999999999996,202005
52235,3,5.1000000000000005,0.09999999999999964,202001
53050,1,,,202005
51941,13,11.5,2.4000000000000004,202002
50300,21,10.5,4.500000000000001,202001
51040,11,8.100000000000001,4.8999999999999995,202003
51810,20,116.0,1.2000000000000002,202005
52040,1,,1.7999999999999998,202001
51040,18,18.7,,202005
50040,3,0.20000000000000018,,202006
50730,21,18.0,27.599999999999998,202002
50805,7,13.200000000000003,0.10000000000000053,202002
50350,3,,5.9,202002
51870,30,81.79999999999998,8.100000000000001,202003
50060,76,32.70000000000001,51.0,202002
51910,1,2.8000000000000003,,202004
50970,149,132.4,26.500000000000004,202001
52260,2,,2.5999999999999996,202003
50730,16,13.599999999999998,0.40000000000000036,202003
53133,1,,3.8,202005
51010,2,6.5,,202002
noPort,1214,2151.9999999999995,578.6,202002
50971,23,20.1,7.800000000000002,202002
51260,2,,2.3,202005
51320,2,0.5,,202004
51815,112,443.29999999999984,16.7,202003
50140,34,92.4,3.3999999999999995,202002
50785,45,13.399999999999999,69.69999999999999,202005
51130,167,205.1,31.8,202003
51130,143,169.8000000000001,35.5,202006
50055,1043,852.8,671.8999999999995,202003
53010,4,4.499999999999999,0.2999999999999998,202004
50055,1094,991.0,674.7,202002
51400,2,,,202003
51865,4,11.299999999999999,,202005
51254,1,0.20000000000000018,,202003
51815,43,163.39999999999998,10.3,202006
52235,2,1.6999999999999993,,202002
52870,1,0.20000000000000018,,202002
50055,890,558.0999999999999,471.40000000000003,202006
50340,5,2.8000000000000016,3.1999999999999993,202001
50517,7,13.0,3.1999999999999993,202001
51070,1,3.4000000000000004,,202003
51205,1,,0.09999999999999964,202005
52235,2,7.799999999999999,,202006
50140,17,17.5,1.9000000000000004,202006
50516,309,20.099999999999998,500.2,202006
50790,1,1.9000000000000004,,202004
51501,1,5.0,,202003
51820,1,0.5,,202003
52065,13,3.0,18.1,202003
52065,8,2.9000000000000004,2.6,202006
51040,10,1.4999999999999991,2.000000000000001,202004
51205,2,2.5,,202001
50300,21,8.299999999999999,8.600000000000001,202005
51840,1,,0.09999999999999964,202006
52260,2,1.2000000000000002,2.7,202005
50970,146,163.19999999999987,22.400000000000006,202004
50055,1109,948.1000000000001,766.6999999999999,202001
50600,1,0.20000000000000018,,202003
51504,2,,0.09999999999999964,202003
51845,68,169.50000000000003,50.39999999999999,202003
50030,888,1437.7000000000003,790.1000000000001,202001
50730,19,9.7,13.1,202001
52720,6,4.2,5.300000000000001,202004
53020,6,0.2999999999999998,1.4000000000000004,202005
51100,28,25.900000000000002,40.300000000000004,202004
53010,4,9.0,,202005
