inPortNo,draughtDiff,draughtDiffCargo,draughtDiffTanker,period
51130,126,169.70000000000002,34.699999999999996,202000
52320,34,26.600000000000005,15.7,201911
50210,3,1.4,,201908
50450,13,2.8000000000000007,11.8,202000
50805,2,0.5,0.7999999999999998,202000
51910,5,1.0,0.40000000000000036,201909
52040,1,,0.6999999999999993,201909
53010,8,9.299999999999999,,201907
51870,20,6.499999999999998,14.8,201911
50040,1,0.10000000000000053,,201908
50055,880,875.7000000000003,494.2,201907
50060,62,24.799999999999997,52.40000000000002,201910
50510,1,0.5999999999999996,,201909
50516,373,59.9,804.4999999999999,201907
50518,7,10.399999999999999,0.40000000000000036,201908
51280,9,17.6,2.8999999999999995,201910
51770,5,12.4,1.7000000000000002,201911
52270,1,0.3999999999999999,,201908
50060,59,33.99999999999999,30.60000000000001,201909
50070,1,,,201907
51920,2,,,201907
52040,1,,0.8000000000000007,202000
52350,6,4.800000000000002,3.5999999999999996,201907
50450,22,12.300000000000002,19.0,201907
50516,358,65.00000000000001,732.6000000000005,201911
50930,1,1.4000000000000004,,201909
51400,9,11.100000000000001,5.899999999999999,201910
51770,9,10.7,,201910
52720,16,7.1000000000000005,11.3,201909
53020,10,4.000000000000003,0.6999999999999997,201910
53115,8,21.600000000000005,,202000
50441,4,0.8999999999999999,1.0,201907
50790,1,,0.9000000000000004,201908
52235,3,3.6999999999999993,2.3999999999999995,201907
50450,15,15.200000000000003,14.499999999999998,201909
50970,171,192.99999999999997,67.5,202000
51340,2,5.0,,201908
51800,2,0.9000000000000004,,201908
52230,1,4.200000000000001,,201911
51200,6,,5.8,201911
51815,46,26.699999999999996,1.700000000000001,201907
52940,1,,1.0,201908
50970,218,284.60000000000014,47.99999999999999,201908
51180,3,2.8999999999999986,,201909
51840,1,,0.39999999999999947,201910
51020,2,5.899999999999999,,201907
51254,2,0.5,0.40000000000000036,201907
51830,5,4.5,0.5000000000000004,201909
50510,3,1.1000000000000005,,202000
51400,6,11.899999999999999,4.1,201911
52320,40,45.29999999999999,4.800000000000001,201909
51340,2,2.6,0.3999999999999999,201910
51400,6,7.499999999999999,3.799999999999999,202000
50785,24,4.2,25.7,201908
50970,215,275.9,44.4,201907
50070,1,,1.1,201910
50971,39,47.1,11.599999999999998,201910
51820,4,4.1,,201909
52090,2,1.3000000000000007,,201908
52320,32,39.800000000000004,8.4,202000
53133,7,6.6000000000000005,6.199999999999999,201910
51320,4,4.1000000000000005,2.4000000000000004,201910
52235,2,1.0,2.6000000000000005,201909
noPort,1135,1262.2999999999995,515.6,201909
50971,28,21.700000000000003,8.100000000000001,201909
51340,3,2.7000000000000006,0.6999999999999997,201907
51100,23,8.3,38.10000000000001,201910
51330,1,,0.20000000000000018,201910
51810,7,23.900000000000006,,201911
50380,33,31.300000000000008,16.400000000000002,201907
51770,10,11.000000000000002,1.3000000000000007,201909
52230,2,0.20000000000000018,,201907
52240,12,42.30000000000001,1.9999999999999991,201911
50350,3,6.799999999999999,0.7999999999999998,202000
50700,5,18.1,7.200000000000002,201910
53010,8,7.2,,201908
50380,35,41.9,15.899999999999997,201908
51820,3,0.6999999999999993,,201911
50060,43,25.1,39.70000000000001,202000
50210,1,1.3000000000000003,,202000
50380,23,16.400000000000006,10.2,202000
50730,24,20.3,14.600000000000001,201909
50935,136,185.5999999999999,113.50000000000001,201908
52090,1,0.09999999999999964,,201910
52297,2,,3.0,201908
50140,16,4.6000000000000005,4.200000000000002,201908
50441,6,8.1,2.0,201908
50441,5,4.800000000000001,,201909
51500,1,0.10000000000000053,,201908
51830,4,4.7,0.6000000000000014,202000
51850,1,0.5,,201908
52720,12,3.9999999999999987,9.8,201910
51040,33,19.799999999999997,8.999999999999996,202000
52720,18,5.200000000000001,13.5,201907
52940,1,,,201909
51010,5,14.799999999999997,2.6999999999999993,201908
51941,23,13.400000000000006,3.2,201910
50450,24,43.5,6.900000000000001,201910
52320,53,39.1,19.899999999999995,201910
50055,584,490.39999999999986,381.69999999999993,202000
50510,3,0.7999999999999989,,201908
50600,2,2.8999999999999995,,201908
52065,18,19.500000000000007,5.1000000000000005,201908
51890,10,6.799999999999998,2.9000000000000004,201909
50140,15,2.700000000000001,11.200000000000001,202000
50231,2,,0.3999999999999999,201908
51830,3,0.40000000000000036,1.4999999999999991,201911
51400,7,8.9,9.899999999999999,201909
50790,1,,,201911
51810,6,7.999999999999999,,201907
52260,5,,4.1000000000000005,201907
50785,20,13.600000000000003,16.7,201911
51865,3,3.7,,201910
51890,12,8.099999999999998,2.6000000000000005,201908
